label_es,id,label_en
GIRASOL,126,Sunflower
GRANADO,127,Pomegranate
GRELOS,128,Turnip Greens
GROSELLA,129,Redcurrant
GROSELLA NEGRA,130,Blackcurrant
GROSELLERO,131,Currant Bush
GUINDILLA,132,Chili Pepper
GUISANTE,133,Pea
HABA,134,Broad Bean
HABONCILLO,135,Broad Bean (Minor)
HECTAREAS DE AGROSILVICULTURA DEL REGLAMENTO Nº 1698/2005 Y/O DEL REGLAMENTO Nº 1305/2013,136,Agroforestry Areas (Reg. 1698/2005 / 1305/2013)
HELICRISO,137,Helichrysum
HIERBA CINTA,138,Ribbon Grass
HIERBA DE GUINEA,139,Guinea Grass
HIERBABUENA,140,Spearmint
HIGUERA,141,Fig
HINOJO,142,Fennel
HIPÉRICO,143,St John's Wort
HISOPO,144,Hyssop
HUERTA,145,Market Garden / Orchard
IMPRODUCTIVO,146,Non-Productive
JUDÍA,147,Green Bean
JUDÍA ESCARLATA,148,Runner Bean
KALE,149,Kale
KALE O COL RIZADA,150,Kale
KIWI,151,Kiwi
LAVANDA,152,Lavender
LAVANDÍN,153,Lavandin
LECHUGA,154,Lettuce
LENTEJA,155,Lentil
LINO,156,Flax
LINO NO TEXTIL,157,Linseed (Non-Textile)
LINO TEXTIL PARA FIBRA,158,Flax (Fiber)
LLANTÉN,159,Plantain (Herb)
LÚPULO,160,Hops
MALVAVISCO,161,Marshmallow
MANDARINO HÍBRIDO,162,Mandarin Hybrid
MANZANILLA,163,Chamomile
MANZANILLA AMARGA,164,Bitter Chamomile
MANZANILLA DULCE,165,Sweet Chamomile
MANZANO,166,Apple
MAÍZ,167,Maize
MAÍZ DULCE,168,Sweet Corn
MELISA O TORONJIL,169,Lemon Balm
MELOCOTONERO,170,Peach
MELÓN,171,Melon
MEMBRILLO,172,Quince
MENTA,173,Mint
MEZCLA ALGARROBA-AVENA,174,Carob-Oats Mixture
MEZCLA ALGARROBA-CEBADA,175,Carob-Barley Mixture
MEZCLA ALGARROBAS - CEBADA,176,Carob-Barley Mixture
MEZCLA AVENA-CEBADA,177,Oats-Barley Mixture
MEZCLA AVENA-CEBADA-VEZA,178,Oats-Barley-Vetch Mixture
MEZCLA AVENA-CENTENO,179,Oats-Rye Mixture
MEZCLA AVENA-GUISANTE,180,Oats-Pea Mixture
MEZCLA AVENA-HABA,181,Oats-Broad Bean Mixture
MEZCLA AVENA-MAÍZ,182,Oats-Maize Mixture
MEZCLA AVENA-TRIGO,183,Oats-Wheat Mixture
MEZCLA AVENA-TRITICALE,184,Oats-Triticale Mixture
MEZCLA AVENA-VEZA,185,Oats-Vetch Mixture
MEZCLA AVENA-YEROS,186,Oats-Bitter Vetch Mixture
MEZCLA AVENA-ZULLA,187,Oats-French Honeysuckle Mixture
MEZCLA CEBADA-GUISANTE,188,Barley-Pea Mixture
MEZCLA CEBADA-TRIGO,189,Barley-Wheat Mixture
MEZCLA CEBADA-VEZA,190,Barley-Vetch Mixture
MEZCLA CEBADA-YEROS,191,Barley-Bitter Vetch Mixture
MEZCLA CEBADA-ZULLA,192,Barley-French Honeysuckle Mixture
MEZCLA CENTENO-TRIGO,193,Rye-Wheat Mixture
MEZCLA CEREAL-RAYGRASS,194,Cereal-Ryegrass Mixture
MEZCLA DE FORESTALES,195,Mixed Forestry
MEZCLA EN MARGENES MULTIFUNCIONALES,196,Multifunctional Margin Mixture
MEZCLA GUISANTE-AVENA,197,Pea-Oats Mixture
MEZCLA GUISANTE-CEBADA,198,Pea-Barley Mixture
MEZCLA HABA-VEZA,199,Broad Bean-Vetch Mixture
MEZCLA MAÍZ-SORGO,200,Maize-Sorghum Mixture
MEZCLA RAYGRASS-TRÉBOL,201,Ryegrass-Clover Mixture
MEZCLA RAYGRASS-VEZA,202,Ryegrass-Vetch Mixture
MEZCLA TRIGO-VEZA,203,Wheat-Vetch Mixture
MEZCLA TRITICALE-VEZA,204,Triticale-Vetch Mixture
MEZCLA VEZA - AVENA - CEBADA,205,Vetch-Oats-Barley Mixture
MEZCLA VEZA - RAYGRASS,206,Vetch-Ryegrass Mixture
MEZCLA VEZA-CEBADA,207,Vetch-Barley Mixture
MEZCLA VEZA-TRIGO,208,Vetch-Wheat Mixture
MEZCLA YEROS - AVENA,209,Bitter Vetch-Oats Mixture
MEZCLA YEROS - CEBADA,210,Bitter Vetch-Barley Mixture
MEZCLA ZULLA - AVENA,211,French Honeysuckle-Oats Mixture
MIJO,212,Millet
MILENRAMA,213,Yarrow
MIMBRERA,214,Willow (Wicker)
MOSTAZA,215,Mustard
NABO,216,Turnip
NARANJO,217,Orange
NECTARINO,218,Nectarine
NOGAL,219,Walnut
OLIVAR - FRUTAL,220,Olive-Fruit Intercropping
OLIVO,221,Olive
OLMO,222,Elm
ORÉGANO,223,Oregano
OTRAS MEZCLAS CON PREDOMINANCIA CFN,224,Mixtures (Nitrogen Fixing Predominant)
OTRAS SUPERFICIES FORESTALES,225,Other Forest Surfaces
OTRAS UTILIZACIONES NO AGRARIAS NI FORESTALES,226,Other Non-Agricultural/Non-Forestry Uses
OTROS FRUTALES,227,Other Fruit Trees
PANIZO,228,Foxtail Millet
PARAGUAYO,229,Paraguayo Peach
PASTIZAL DE 5 O MAS AÑOS,230,Pasture (5+ years)
PASTO ARBOLADO DE 5 O MAS AÑOS,231,Wooded Pasture (5+ years)
PASTO ARBUSTIVO DE 5 O MAS AÑOS,232,Shrubby Pasture (5+ years)
PASTO DE SUDÁN,233,Sudan Grass
PASTO DEL SUDÁN,234,Sudan Grass
PASTOS DE MENOS DE 5 AÑOS,235,Temporary Grassland (<5 years)
PASTOS PERMANENTES DE 5 O MÁS AÑOS,236,Permanent Grassland (5+ years)
PATATA,237,Potato
PAULONIA,238,Paulownia
PEPINILLOS,239,Gherkins
PEPINO,240,Cucumber
PERAL,241,Pear
PEREJIL,242,Parsley
PIMIENTO,243,Pepper
PIMIENTO PARA PIMENTÓN,244,Paprika Pepper
PINO,245,Pine
PINOS PIÑONEROS,246,Stone Pine
PISTACHO,247,Pistachio
PLANTAS ORNAMENTALES,248,Ornamental Plants
PLANTÓN DE REMOLACHA,249,Beet Seedling
POA,250,Meadow-grass (Poa)
POLEO,251,Pennyroyal
PUERRO,252,Leek
QUEJIGO,253,Portuguese Oak
QUINOA,254,Quinoa
RAYGRAS,255,Ryegrass
RAYGRAS ANUAL (LOLIUM MULTIFLORUM LAM. AND HYBRIDS),256,Annual Ryegrass
RAYGRAS ANUAL (Lolium multiflorum LAM. And hybrids),257,Annual Ryegrass
RAYGRASS ANUAL,258,Annual Ryegrass
RAYGRASS PERENNE,259,Perennial Ryegrass
REGALIZ,260,Licorice
REMOLACHA,261,Beet
REMOLACHA DE MESA,262,Table Beet
REMOLACHA FORRAJERA,263,Fodder Beet
REPOLLO,264,Cabbage
RESTO DE PINOS (NO PIÑONEROS),265,Other Pines
ROBLE,266,Oak
ROMANESCU,267,Romanesco
ROMERO,268,Rosemary
ROMPEPIEDRA,269,Hackberry / Stonebreaker
RÁBANO,270,Radish
SABINA,271,Juniper (Savin)
SALIX,272,Salix
SALVIA,273,Sage
SANDÍA,274,Watermelon
SAUCE,275,Willow
SETAS,276,Mushrooms
SOJA,277,Soybean
SORGO,278,Sorghum
SUPERFICIES FORESTALES DE ROTACION CORTA,279,Short Rotation Forestry
SUPERFICIES FORESTALES MADERABLES,280,Timber Forest Areas
SUPERFICIES VINCULADAS A LA DIRECTIVA 92/43/CEE,281,Areas linked to Directive 92/43/EEC
TABACO,282,Tobacco
TEFF,283,Teff
TITARRO,284,Grass Pea / Chickling Vetch
TOMATE,285,Tomato
TOMATE PARA TRANSFORMACIÓN,286,Processing Tomato
TOMILLO,287,Thyme
TRANQUILLÓN,288,Maslin
TRAVALERA,289,Centaurea
TRIGO BLANDO,290,Soft Wheat
TRIGO DURO,291,Durum Wheat
TRIGO KHORASAN,292,Khorasan Wheat
TRITICALE,293,Triticale
TRITICUM SPELTA,294,Spelt Wheat
TRITORDEUM,295,Tritordeum
TRUFA,296,Truffle
TRÉBOL,297,Clover
UVA DE MESA,298,Table Grape
UVA PASA,299,Raisin Grape
VALERIANA,300,Valerian
VARA DE ORO,301,Goldenrod
VEZA,302,Vetch
VEZA VELLOSA,303,Hairy Vetch
VIVERO,304,Nursery
VIÑA,305,Vineyard
VIÑA - FRUTAL,306,Vineyard-Fruit Intercropping
VIÑA - OLIVAR,307,Vineyard-Olive Intercropping
VIÑA-HUERTA,308,Vineyard-Vegetable Intercropping
VIÑA-OLIVAR,309,Vineyard-Olive Intercropping
YEROS,310,Bitter Vetch
ZANAHORIA,311,Carrot
ZARZAMORA,312,Blackberry
ZARZAMORA (RUBUS L.),313,Blackberry (Rubus L.)
